# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-3.100E+00 kf=2.249E+00 Vint=-2.236E+01 Rs_int= 1.613
# PATH  Rmax= 4.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     94.12     12.00     2   2.9475
#           3       0.00000     13.59     24.00     3   3.5580
#           4       0.00000     18.95     48.00     3   3.5580
#           5       0.00000     35.71      8.00     2   3.6099
#           6       0.00000     20.29      6.00     2   4.1684
#           7       0.00000     14.27      6.00     3   4.1684
#           8       0.00000     51.34     12.00     3   4.1684
#           9       0.00000      9.23      6.00     4   4.1684
#          10       0.00000      4.43      6.00     4   4.1684
#          11       0.00000     32.90      6.00     4   4.1684
#          12       0.00000      5.75     24.00     4   4.1684
#          14       0.00000      6.47     48.00     3   4.3208
#          15       0.00000     18.33     48.00     3   4.3208
#          16       0.00000     20.12     48.00     3   4.3208
#          17       0.00000      7.05     48.00     3   4.4213
#          18       0.00000     54.46     24.00     2   4.6604
#    17/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     6.6000    9.043834E-03  1.327293E-01  2.820614E+01
     6.6500   -2.882298E-02  1.366767E-01  2.848681E+01
     6.7000   -6.613273E-02  1.398179E-01  2.876702E+01
     6.7500   -9.917384E-02  1.421101E-01  2.904675E+01
     6.8000   -1.246124E-01  1.435223E-01  2.932599E+01
     6.8500   -1.398927E-01  1.440359E-01  2.960470E+01
     6.9000   -1.435426E-01  1.436448E-01  2.988284E+01
     6.9500   -1.353418E-01  1.423552E-01  3.016033E+01
     7.0000   -1.163325E-01  1.401854E-01  3.043709E+01
     7.0500   -8.822545E-02  1.369554E-01  3.071596E+01
     7.1000   -5.450845E-02  1.329200E-01  3.099338E+01
     7.1500   -1.874401E-02  1.281281E-01  3.126911E+01
     7.2000    1.552215E-02  1.226392E-01  3.154283E+01
     7.2500    4.518490E-02  1.165226E-01  3.181415E+01
     7.3000    6.792444E-02  1.098573E-01  3.208250E+01
     7.3500    8.242839E-02  1.027314E-01  3.234718E+01
     7.4000    8.846607E-02  9.524275E-02  3.260722E+01
     7.4500    8.681228E-02  8.749935E-02  3.286132E+01
     7.5000    7.903923E-02  7.962144E-02  3.310773E+01
     7.5500    6.714630E-02  7.168000E-02  3.334429E+01
     7.6000    5.346674E-02  6.390745E-02  3.356642E+01
     7.6500    4.006580E-02  5.650623E-02  3.376937E+01
     7.7000    2.850287E-02  4.973032E-02  3.394718E+01
     7.7500    1.964411E-02  4.389962E-02  3.409358E+01
     7.8000    1.360395E-02  3.939466E-02  3.420493E+01
     7.8500    9.817904E-03  3.659166E-02  3.428588E+01
     7.9000    7.228584E-03  3.571141E-02  3.435369E+01
     7.9500    4.549241E-03  3.666787E-02  3.443313E+01
     8.0000    5.579451E-04  3.908409E-02  3.454324E+01
     8.0500   -5.708743E-03  4.258596E-02  3.469198E+01
     8.1000   -1.458833E-02  4.662113E-02  3.487578E+01
     8.1500   -2.573325E-02  5.084843E-02  3.508815E+01
     8.2000   -3.812312E-02  5.503394E-02  3.532277E+01
     8.2500   -5.020372E-02  5.902385E-02  3.557458E+01
     8.3000   -6.012801E-02  6.272044E-02  3.583980E+01
     8.3500   -6.605979E-02  6.606507E-02  3.611568E+01
     8.4000   -6.649091E-02  6.902690E-02  3.640022E+01
     8.4500   -6.052047E-02  7.159540E-02  3.669196E+01
     8.5000   -4.805035E-02  7.377520E-02  3.698981E+01
     8.5500   -2.980759E-02  7.566462E-02  3.729419E+01
     8.6000   -7.397289E-03  7.718312E-02  3.760312E+01
     8.6500    1.686546E-02  7.835896E-02  3.791604E+01
     8.7000    4.028044E-02  7.922485E-02  3.823247E+01
     8.7500    6.011544E-02  7.981594E-02  3.855199E+01
     8.8000    7.397226E-02  8.016818E-02  3.887417E+01
     8.8500    8.011259E-02  8.031658E-02  3.919862E+01
     8.9000    7.769718E-02  8.029382E-02  3.952492E+01
     8.9500    6.690478E-02  8.012892E-02  3.985264E+01
     9.0000    4.891518E-02  7.984624E-02  4.018134E+01
     9.0500    2.571236E-02  7.947760E-02  4.051126E+01
     9.1000   -5.234208E-05  7.900889E-02  4.084137E+01
     9.1500   -2.545988E-02  7.845016E-02  4.117123E+01
     9.2000   -4.768642E-02  7.780617E-02  4.150041E+01
     9.2500   -6.434613E-02  7.707686E-02  4.182853E+01
     9.3000   -7.376694E-02  7.625807E-02  4.215519E+01
     9.3500   -7.516536E-02  7.534237E-02  4.248006E+01
     9.4000   -6.870196E-02  7.432016E-02  4.280282E+01
     9.4500   -5.541619E-02  7.318063E-02  4.312320E+01
     9.5000   -3.705556E-02  7.191284E-02  4.344096E+01
     9.5500   -1.577349E-02  7.057592E-02  4.375690E+01
     9.6000    6.040211E-03  6.909233E-02  4.406983E+01
     9.6500    2.609886E-02  6.745592E-02  4.437957E+01
     9.7000    4.248285E-02  6.566303E-02  4.468592E+01
     9.7500    5.383180E-02  6.371300E-02  4.498870E+01
     9.8000    5.945147E-02  6.160840E-02  4.528770E+01
     9.8500    5.932925E-02  5.935529E-02  4.558271E+01
     9.9000    5.406463E-02  5.696322E-02  4.587348E+01
     9.9500    4.473197E-02  5.444534E-02  4.615969E+01
    10.0000    3.270015E-02  5.181835E-02  4.644098E+01
    10.0500    1.944247E-02  4.924225E-02  4.671800E+01
    10.1000    6.269374E-03  4.659736E-02  4.698894E+01
    10.1500   -5.657221E-03  4.391060E-02  4.725308E+01
    10.2000   -1.550524E-02  4.121306E-02  4.750960E+01
    10.2500   -2.281825E-02  3.854043E-02  4.775750E+01
    10.3000   -2.750524E-02  3.593353E-02  4.799563E+01
    10.3500   -2.978305E-02  3.343880E-02  4.822271E+01
    10.4000   -3.008544E-02  3.110866E-02  4.843750E+01
    10.4500   -2.895596E-02  2.900105E-02  4.863891E+01
    10.5000   -2.694185E-02  2.717756E-02  4.882649E+01
    10.5500   -2.450441E-02  2.569903E-02  4.900079E+01
    10.6000   -2.195692E-02  2.461801E-02  4.916394E+01
    10.6500   -1.943652E-02  2.396898E-02  4.931979E+01
    10.7000   -1.691074E-02  2.375932E-02  4.947349E+01
    10.7500   -1.421466E-02  2.396546E-02  4.963054E+01
    10.8000   -1.111037E-02  2.453671E-02  4.979557E+01
    10.8500   -7.358077E-03  2.540504E-02  4.997164E+01
    10.9000   -2.786999E-03  2.649634E-02  5.016010E+01
    10.9500    2.645099E-03  2.773935E-02  5.036098E+01
    11.0000    8.812986E-03  2.907065E-02  5.057349E+01
    11.0500    1.555826E-02  3.054156E-02  5.079998E+01
    11.1000    2.227690E-02  3.200529E-02  5.103535E+01
    11.1500    2.836053E-02  3.343057E-02  5.127833E+01
    11.2000    3.315154E-02  3.479317E-02  5.152787E+01
    11.2500    3.602333E-02  3.607430E-02  5.178311E+01
    11.3000    3.646322E-02  3.725935E-02  5.204337E+01
    11.3500    3.414808E-02  3.833681E-02  5.230811E+01
    11.4000    2.900345E-02  3.929756E-02  5.257690E+01
    11.4500    2.123826E-02  4.013427E-02  5.284944E+01
    11.5000    1.134941E-02  4.084106E-02  5.312548E+01
    11.5500    9.331926E-05  4.141327E-02  5.340482E+01
    11.6000   -1.157522E-02  4.184737E-02  5.368734E+01
    11.6500   -2.259244E-02  4.214093E-02  5.397290E+01
    11.7000   -3.189519E-02  4.229264E-02  5.426144E+01
    11.7500   -3.853911E-02  4.230245E-02  5.455287E+01
    11.8000   -4.181161E-02  4.217158E-02  5.484712E+01
    11.8500   -4.132483E-02  4.190265E-02  5.514413E+01
    11.9000   -3.707521E-02  4.149969E-02  5.544384E+01
    11.9500   -2.945951E-02  4.096820E-02  5.574619E+01
    12.0000   -1.924243E-02  4.031505E-02  5.605109E+01
    12.0500   -7.450040E-03  3.970702E-02  5.635992E+01
    12.1000    4.765655E-03  3.899731E-02  5.667118E+01
    12.1500    1.613441E-02  3.819457E-02  5.698479E+01
    12.2000    2.548522E-02  3.730787E-02  5.730067E+01
    12.2500    3.188433E-02  3.634644E-02  5.761874E+01
    12.3000    3.474498E-02  3.531950E-02  5.793885E+01
    12.3500    3.389428E-02  3.423594E-02  5.826086E+01
    12.4000    2.958757E-02  3.310410E-02  5.858457E+01
    12.4500    2.246819E-02  3.193156E-02  5.890976E+01
    12.5000    1.347795E-02  3.072488E-02  5.923615E+01
    12.5500    3.730592E-03  2.948950E-02  5.956341E+01
    12.6000   -5.634047E-03  2.822961E-02  5.989119E+01
    12.6500   -1.359480E-02  2.694810E-02  6.021904E+01
    12.7000   -1.937274E-02  2.564667E-02  6.054648E+01
    12.7500   -2.251671E-02  2.432594E-02  6.087294E+01
    12.8000   -2.293973E-02  2.298571E-02  6.119779E+01
    12.8500   -2.090278E-02  2.162528E-02  6.152028E+01
    12.9000   -1.695039E-02  2.024395E-02  6.183952E+01
    12.9500   -1.180959E-02  1.884149E-02  6.215443E+01
    13.0000   -6.269236E-03  1.741892E-02  6.246368E+01
    13.0500   -1.026753E-03  1.602826E-02  6.276775E+01
    13.1000    3.338541E-03  1.462069E-02  6.306223E+01
    13.1500    6.470891E-03  1.320684E-02  6.334390E+01
    13.2000    8.271693E-03  1.180504E-02  6.360822E+01
    13.2500    8.883683E-03  1.044582E-02  6.384870E+01
    13.3000    8.634297E-03  9.178972E-03  6.405642E+01
    13.3500    7.949856E-03  8.083396E-03  6.422063E+01
    13.4000    7.256948E-03  7.274473E-03  6.433322E+01
    13.4500    6.889228E-03  6.889246E-03  6.440038E+01
    13.5000    7.016579E-03  7.025309E-03  6.445251E+01
    13.5500    7.609364E-03  7.671446E-03  6.452996E+01
    13.6000    8.444098E-03  8.720331E-03  6.465502E+01
    13.6500    9.149417E-03  1.004212E-02  6.482749E+01
    13.7000    9.283942E-03  1.153077E-02  6.503753E+01
    13.7500    8.431868E-03  1.311042E-02  6.527485E+01
    13.8000    6.298743E-03  1.472753E-02  6.553152E+01
    13.8500    2.789672E-03  1.634283E-02  6.580191E+01
    13.9000   -1.945048E-03  1.792599E-02  6.608216E+01
    13.9500   -7.506358E-03  1.945238E-02  6.636961E+01
    14.0000   -1.328732E-02  2.090130E-02  6.666238E+01
    14.0500   -1.861967E-02  2.231730E-02  6.696034E+01
    14.1000   -2.268964E-02  2.362845E-02  6.726141E+01
    14.1500   -2.481554E-02  2.482083E-02  6.756488E+01
    14.2000   -2.451939E-02  2.588239E-02  6.787022E+01
    14.2500   -2.161350E-02  2.680293E-02  6.817702E+01
    14.3000   -1.624629E-02  2.757412E-02  6.848499E+01
    14.3500   -8.898785E-03  2.818945E-02  6.879387E+01
    14.4000   -3.312345E-04  2.864429E-02  6.910347E+01
    14.4500    8.512901E-03  2.893587E-02  6.941366E+01
    14.5000    1.663149E-02  2.906328E-02  6.972429E+01
    14.5500    2.309819E-02  2.902741E-02  7.003526E+01
    14.6000    2.718683E-02  2.883094E-02  7.034649E+01
    14.6500    2.846713E-02  2.847824E-02  7.065790E+01
    14.7000    2.685800E-02  2.797530E-02  7.096941E+01
    14.7500    2.263120E-02  2.732959E-02  7.128095E+01
    14.8000    1.636588E-02  2.654998E-02  7.159245E+01
    14.8500    8.861841E-03  2.564653E-02  7.190382E+01
    14.9000    1.025502E-03  2.463040E-02  7.221498E+01
    14.9500   -6.253785E-03  2.351364E-02  7.252583E+01
    15.0000   -1.221879E-02  2.230904E-02  7.283625E+01
    15.0500   -1.640767E-02  2.108656E-02  7.314828E+01
    15.1000   -1.847308E-02  1.979692E-02  7.345965E+01
    15.1500   -1.842279E-02  1.845309E-02  7.377012E+01
    15.2000   -1.652925E-02  1.706815E-02  7.407938E+01
    15.2500   -1.326730E-02  1.565523E-02  7.438703E+01
    15.3000   -9.227795E-03  1.422736E-02  7.469249E+01
    15.3500   -5.021871E-03  1.279741E-02  7.499497E+01
    15.4000   -1.191136E-03  1.137812E-02  7.529334E+01
    15.4500    1.862829E-03  9.982238E-03  7.558594E+01
    15.5000    3.920323E-03  8.622817E-03  7.587020E+01
    15.5500    4.952513E-03  7.313996E-03  7.614208E+01
    15.6000    5.098950E-03  6.072583E-03  7.639489E+01
    15.6500    4.619987E-03  4.921464E-03  7.661719E+01
    15.7000    3.834071E-03  3.897045E-03  7.678900E+01
    15.7500    3.051679E-03  3.064212E-03  7.687854E+01
    15.8000    2.517330E-03  2.533283E-03  7.685673E+01
    15.8500    2.368961E-03  2.419247E-03  7.676477E+01
    15.9000    2.620365E-03  2.698803E-03  7.672733E+01
    15.9500    3.168100E-03  3.212134E-03  7.680325E+01
    16.0000    3.820043E-03  3.820044E-03  7.696870E+01
    16.0500    4.364701E-03  4.470782E-03  7.718729E+01
    16.1000    4.551953E-03  5.111226E-03  7.744120E+01
    16.1500    4.193973E-03  5.722919E-03  7.771733E+01
    16.2000    3.192880E-03  6.297017E-03  7.800806E+01
    16.2500    1.564125E-03  6.829640E-03  7.830875E+01
    16.3000   -5.601572E-04  7.319653E-03  7.861642E+01
    16.3500   -2.947927E-03  7.767524E-03  7.892909E+01
    16.4000   -5.300901E-03  8.174682E-03  7.924537E+01
    16.4500   -7.299241E-03  8.543128E-03  7.956421E+01
    16.5000   -8.649915E-03  8.875178E-03  7.988483E+01
    16.5500   -9.131067E-03  9.173287E-03  8.020659E+01
    16.6000   -8.625749E-03  9.439930E-03  8.052899E+01
    16.6500   -7.140284E-03  9.677508E-03  8.085157E+01
    16.7000   -4.805071E-03  9.888293E-03  8.117398E+01
    16.7500   -1.858368E-03  1.007438E-02  8.149588E+01
    16.8000    1.384005E-03  1.023769E-02  8.181701E+01
    16.8500    4.568286E-03  1.037992E-02  8.213713E+01
    16.9000    7.345994E-03  1.050258E-02  8.245603E+01
    16.9500    9.414968E-03  1.060699E-02  8.277356E+01
    17.0000    1.055319E-02  1.069430E-02  8.308958E+01
    17.0500    1.066814E-02  1.079446E-02  8.340534E+01
    17.1000    9.712232E-03  1.088020E-02  8.371981E+01
    17.1500    7.780227E-03  1.095217E-02  8.403296E+01
    17.2000    5.067061E-03  1.101085E-02  8.434479E+01
    17.2500    1.845262E-03  1.105648E-02  8.465532E+01
    17.3000   -1.564716E-03  1.108911E-02  8.496458E+01
    17.3500   -4.827910E-03  1.110858E-02  8.527261E+01
    17.4000   -7.628547E-03  1.111453E-02  8.557947E+01
    17.4500   -9.700824E-03  1.110640E-02  8.588523E+01
    17.5000   -1.085399E-02  1.108344E-02  8.618996E+01
    17.5500   -1.098963E-02  1.104474E-02  8.649374E+01
    17.6000   -1.010968E-02  1.098923E-02  8.679661E+01
    17.6500   -8.314640E-03  1.091574E-02  8.709864E+01
    17.7000   -5.792166E-03  1.082303E-02  8.739988E+01
    17.7500   -2.797101E-03  1.070981E-02  8.770036E+01
    17.8000    3.751123E-04  1.057482E-02  8.800007E+01
    17.8500    3.419058E-03  1.041687E-02  8.829902E+01
    17.9000    6.050875E-03  1.023489E-02  8.859714E+01
    17.9500    8.037309E-03  1.002799E-02  8.889437E+01
    18.0000    9.219013E-03  9.795527E-03  8.919060E+01
    18.0500    9.544824E-03  9.555270E-03  8.948863E+01
    18.1000    8.998407E-03  9.286321E-03  8.978505E+01
    18.1500    7.690732E-03  8.989053E-03  9.007954E+01
    18.2000    5.807086E-03  8.664403E-03  9.037168E+01
    18.2500    3.580702E-03  8.313957E-03  9.066093E+01
    18.3000    1.261228E-03  7.940046E-03  9.094667E+01
    18.3500   -9.174428E-04  7.545860E-03  9.122807E+01
    18.4000   -2.765330E-03  7.135589E-03  9.150415E+01
    18.4500   -4.156459E-03  6.714610E-03  9.177368E+01
    18.5000   -5.038135E-03  6.289706E-03  9.203517E+01
    18.5500   -5.428377E-03  5.869341E-03  9.228688E+01
    18.6000   -5.402481E-03  5.463954E-03  9.252684E+01
    18.6500   -5.071484E-03  5.086194E-03  9.275306E+01
