# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    694.50      2.00     2   2.4277
#           3       0.00000    164.10      2.00     2   3.2308
#           4       0.00000    323.50      4.00     2   3.2413
#           5       0.00000      5.14      4.00     3   3.2437
#           6       0.00000      6.37      4.00     3   3.2582
#           7       0.00000    151.90      2.00     2   3.2872
#           8       0.00000     91.99      8.00     3   3.7075
#           9       0.00000    117.40      8.00     3   3.7101
#          10       0.00000      8.22      4.00     2   3.8035
#          11       0.00000     15.81      8.00     3   3.8061
#          15       0.00000      8.31      4.00     4   3.8088
#          16       0.00000     26.67      8.00     3   3.8655
#          17       0.00000     25.51      8.00     3   3.8885
#          18       0.00000     37.33      8.00     3   3.9121
#          19       0.00000     36.98      8.00     3   3.9173
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     6.1000    4.139402E-02  4.749020E-02  1.990808E+01
     6.1500    4.314930E-02  4.445201E-02  2.017766E+01
     6.2000    4.135009E-02  4.136718E-02  2.044910E+01
     6.2500    3.651662E-02  3.825273E-02  2.072279E+01
     6.3000    2.940280E-02  3.512595E-02  2.099925E+01
     6.3500    2.090945E-02  3.200453E-02  2.127918E+01
     6.4000    1.198789E-02  2.890686E-02  2.156353E+01
     6.4500    3.544003E-03  2.585235E-02  2.185363E+01
     6.5000   -3.647849E-03  2.286228E-02  2.215139E+01
     6.5500   -9.155495E-03  2.004403E-02  2.246551E+01
     6.6000   -1.247409E-02  1.731079E-02  2.279581E+01
     6.6500   -1.347806E-02  1.470991E-02  2.314978E+01
     6.7000   -1.230995E-02  1.231316E-02  2.353911E+01
     6.7500   -9.351195E-03  1.023620E-02  2.398083E+01
     6.8000   -5.168713E-03  8.662751E-03  2.449341E+01
     6.8500   -4.438184E-04  7.832106E-03  2.507604E+01
     6.9000    4.108618E-03  7.900419E-03  2.567965E+01
     6.9500    7.821898E-03  8.766062E-03  2.623514E+01
     7.0000    1.015149E-02  1.015227E-02  2.671590E+01
     7.0500    1.089191E-02  1.193831E-02  2.712535E+01
     7.1000    9.751526E-03  1.384598E-02  2.749292E+01
     7.1500    6.747019E-03  1.579242E-02  2.783291E+01
     7.2000    2.119542E-03  1.772806E-02  2.815449E+01
     7.2500   -3.689088E-03  1.962145E-02  2.846347E+01
     7.3000   -1.008168E-02  2.145134E-02  2.876360E+01
     7.3500   -1.636772E-02  2.320258E-02  2.905736E+01
     7.4000   -2.183583E-02  2.486390E-02  2.934645E+01
     7.4500   -2.582909E-02  2.642662E-02  2.963207E+01
     7.5000   -2.781575E-02  2.788399E-02  2.991511E+01
     7.5500   -2.749282E-02  2.924266E-02  3.019282E+01
     7.6000   -2.475813E-02  3.051165E-02  3.046933E+01
     7.6500   -1.970226E-02  3.168791E-02  3.074494E+01
     7.7000   -1.264046E-02  3.276899E-02  3.101991E+01
     7.7500   -4.089757E-03  3.375297E-02  3.129446E+01
     7.8000    5.273659E-03  3.463844E-02  3.156877E+01
     7.8500    1.467312E-02  3.542446E-02  3.184300E+01
     7.9000    2.330082E-02  3.611055E-02  3.211729E+01
     7.9500    3.039162E-02  3.669669E-02  3.239179E+01
     8.0000    3.529423E-02  3.718327E-02  3.266660E+01
     8.0500    3.751010E-02  3.755097E-02  3.294006E+01
     8.1000    3.686537E-02  3.783738E-02  3.321388E+01
     8.1500    3.336043E-02  3.804367E-02  3.348815E+01
     8.2000    2.723732E-02  3.817125E-02  3.376296E+01
     8.2500    1.896240E-02  3.822184E-02  3.403840E+01
     8.3000    9.188989E-03  3.819743E-02  3.431457E+01
     8.3500   -1.296747E-03  3.810028E-02  3.459156E+01
     8.4000   -1.164226E-02  3.793297E-02  3.486947E+01
     8.4500   -2.100158E-02  3.769837E-02  3.514840E+01
