    12.5000   -3.477824E-03  7.193775E-03  6.647804E+01
    12.5500   -1.231553E-02  1.497061E-02  6.693950E+01
    12.6000   -2.165105E-02  2.220005E-02  6.732139E+01
    12.6500   -2.846355E-02  2.874812E-02  6.768506E+01
    12.7000   -3.035206E-02  3.453340E-02  6.804145E+01
    12.7500   -2.607441E-02  3.949434E-02  6.839395E+01
    12.8000   -1.580699E-02  4.358572E-02  6.874391E+01
    12.8500   -1.080168E-03  4.677798E-02  6.909194E+01
    12.9000    1.558280E-02  4.905712E-02  6.943828E+01
    12.9500    3.123130E-02  5.042444E-02  6.978298E+01
    13.0000    4.312456E-02  5.089617E-02  7.012593E+01
    13.0500    4.944660E-02  5.064339E-02  7.046800E+01
    13.1000    4.920143E-02  4.956819E-02  7.080756E+01
    13.1500    4.279923E-02  4.772176E-02  7.114404E+01
    13.2000    3.176603E-02  4.516796E-02  7.147662E+01
    13.2500    1.835686E-02  4.198298E-02  7.180410E+01
    13.3000    5.035283E-03  3.825524E-02  7.212462E+01
    13.3500   -6.057946E-03  3.408645E-02  7.243530E+01
    13.4000   -1.352772E-02  2.959490E-02  7.273136E+01
    13.4500   -1.695029E-02  2.492427E-02  7.300449E+01
    13.5000   -1.686239E-02  2.026574E-02  7.323945E+01
    13.5500   -1.453040E-02  1.591410E-02  7.340734E+01
    13.6000   -1.156616E-02  1.239780E-02  7.345907E+01
    13.6500   -9.488162E-03  1.061287E-02  7.336288E+01
    13.7000   -9.334797E-03  1.125309E-02  7.323490E+01
    13.7500   -1.141915E-02  1.373935E-02  7.323776E+01
    13.8000   -1.527742E-02  1.700823E-02  7.337237E+01
    13.8500   -1.981478E-02  2.040617E-02  7.358609E+01
    13.9000   -2.360547E-02  2.360863E-02  7.384377E+01
    13.9500   -2.526871E-02  2.644351E-02  7.412663E+01
    14.0000   -2.382653E-02  2.881020E-02  7.442444E+01
    14.0500   -1.898127E-02  3.075522E-02  7.473308E+01
    14.1000   -1.105772E-02  3.213839E-02  7.504698E+01
    14.1500   -1.142515E-03  3.293770E-02  7.536353E+01
    14.2000    9.238675E-03  3.314748E-02  7.568068E+01
    14.2500    1.846310E-02  3.277724E-02  7.599659E+01
    14.3000    2.516870E-02  3.185132E-02  7.630935E+01
    14.3500    2.854174E-02  3.040931E-02  7.661673E+01
    14.4000    2.846722E-02  2.850752E-02  7.691585E+01
    14.4500    2.550957E-02  2.622208E-02  7.720267E+01
    14.5000    2.073307E-02  2.365531E-02  7.747134E+01
