 Uraninite                                                        Feff 8.50L
 Wyckoff, R. W. G.
 Second edition. Interscience Publishers, New York, New York
 Fluorite structure
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 Gam_ch=8.104E+00 H-L exch
 Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
 PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   4   8.000   4.7356    2.5893   -8.11371 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -1.3671    1.3671    1.3671  2   8 O     
    -0.0000   -0.0000   -0.0000  0  92 U     
     1.3671   -1.3671   -1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  4.800  1.4289E+01  4.1782E-01 -3.3088E+01  1.292E+00  4.0328E+00  4.9886E+00
  5.000  1.4176E+01  3.5783E-01 -3.3187E+01  1.262E+00  4.1765E+00  5.1724E+00
  5.200  1.4058E+01  3.1064E-01 -3.3296E+01  1.236E+00  4.3272E+00  5.3579E+00
  5.400  1.3937E+01  2.7235E-01 -3.3422E+01  1.209E+00  4.4840E+00  5.5450E+00
  5.600  1.3815E+01  2.4011E-01 -3.3554E+01  1.185E+00  4.6463E+00  5.7334E+00
  5.800  1.3693E+01  2.1225E-01 -3.3693E+01  1.164E+00  4.8137E+00  5.9230E+00
  6.000  1.3572E+01  1.8797E-01 -3.3835E+01  1.145E+00  4.9858E+00  6.1136E+00
  6.500  1.3275E+01  1.3989E-01 -3.4190E+01  1.107E+00  5.4339E+00  6.5938E+00
  7.000  1.2985E+01  1.0583E-01 -3.4547E+01  1.078E+00  5.9043E+00  7.0784E+00
  7.500  1.2699E+01  8.2015E-02 -3.4914E+01  1.054E+00  6.3940E+00  7.5660E+00
  8.000  1.2421E+01  6.4646E-02 -3.5286E+01  1.034E+00  6.9007E+00  8.0561E+00
  8.500  1.2156E+01  5.0892E-02 -3.5640E+01  1.018E+00  7.4223E+00  8.5480E+00
  9.000  1.1902E+01  3.9492E-02 -3.5961E+01  1.006E+00  7.9576E+00  9.0414E+00
  9.500  1.1656E+01  3.0447E-02 -3.6254E+01  9.957E-01  8.5054E+00  9.5358E+00
 10.000  1.1416E+01  2.3910E-02 -3.6534E+01  9.846E-01  9.0646E+00  1.0031E+01
 11.000  1.0960E+01  1.6257E-02 -3.7069E+01  9.662E-01  1.0214E+01  1.1024E+01
 12.000  1.0530E+01  1.1077E-02 -3.7529E+01  9.540E-01  1.1401E+01  1.2019E+01
 13.000  1.0126E+01  7.4711E-03 -3.7919E+01  9.446E-01  1.2621E+01  1.3015E+01
 14.000  9.7472E+00  5.9414E-03 -3.8265E+01  9.393E-01  1.3871E+01  1.4012E+01
 15.000  9.3910E+00  4.8729E-03 -3.8609E+01  9.354E-01  1.5147E+01  1.5009E+01
 16.000  9.0568E+00  4.9728E-03 -3.8694E+01  9.334E-01  1.6448E+01  1.6007E+01
 17.000  8.7408E+00  8.6855E-03 -3.9260E+01  9.321E-01  1.7771E+01  1.7006E+01
 18.000  8.4420E+00  1.0759E-02 -4.0185E+01  9.319E-01  1.9116E+01  1.8005E+01
 19.000  8.1600E+00  9.7003E-03 -4.1148E+01  9.319E-01  2.0479E+01  1.9004E+01
 20.000  7.8928E+00  7.6301E-03 -4.2135E+01  9.320E-01  2.1861E+01  2.0003E+01
