# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-6.087E+00 kf=2.184E+00 Vint=-1.447E+01 Rs_int= 1.661
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    110.70      3.00     2   2.8567
#           3       0.00000     42.06      6.00     2   3.0185
#           4       0.00000     68.79      4.00     3   3.1734
#           5       0.00000     34.41      2.00     3   3.1732
#           6       0.00000     23.47      8.00     3   3.4865
#           7       0.00000     11.73      4.00     3   3.4868
#           8       0.00000      7.70      1.00     4   3.4898
#           9       0.00000     15.40      2.00     4   3.4899
#     9/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    11.0000   -1.430495E-03  1.600697E-03  3.659365E+01
    11.0500   -1.180820E-03  1.532578E-03  3.681952E+01
    11.1000   -8.889428E-04  1.461794E-03  3.704542E+01
    11.1500   -5.761512E-04  1.388777E-03  3.727132E+01
    11.2000   -2.635419E-04  1.313977E-03  3.749717E+01
    11.2500    2.953811E-05  1.237850E-03  3.772298E+01
    11.3000    2.867916E-04  1.160849E-03  3.794875E+01
    11.3500    4.959136E-04  1.083412E-03  3.817456E+01
    11.4000    6.491242E-04  1.005954E-03  3.840050E+01
    11.4500    7.432891E-04  9.288566E-04  3.862677E+01
    11.5000    7.796632E-04  8.524681E-04  3.885362E+01
    11.5500    7.633297E-04  7.770952E-04  3.908141E+01
    11.6000    7.024221E-04  7.030055E-04  3.931065E+01
    11.6500    6.072232E-04  6.304304E-04  3.954208E+01
    11.7000    4.892280E-04  5.595735E-04  3.977674E+01
    11.7500    3.602417E-04  4.906241E-04  4.001614E+01
    11.8000    2.315662E-04  4.237813E-04  4.026261E+01
    11.8500    1.133083E-04  3.592943E-04  4.051986E+01
    11.9000    1.382785E-05  2.975411E-04  4.079421E+01
    11.9500   -6.066654E-05  2.391953E-04  4.109713E+01
    12.0000   -1.063721E-04  1.856283E-04  4.145091E+01
    12.0500   -1.251623E-04  1.402420E-04  4.194350E+01
    12.1000   -1.108321E-04  1.131412E-04  4.261388E+01
    12.1500   -6.641684E-05  1.166194E-04  4.337638E+01
    12.2000    2.316930E-06  1.474831E-04  4.399801E+01
    12.2500    8.738940E-05  1.920619E-04  4.445468E+01
    12.3000    1.792909E-04  2.420639E-04  4.481637E+01
    12.3500    2.677762E-04  2.939645E-04  4.512779E+01
    12.4000    3.427101E-04  3.461972E-04  4.541104E+01
    12.4500    3.949004E-04  3.979681E-04  4.567734E+01
    12.5000    4.168561E-04  4.488180E-04  4.593276E+01
    12.5500    4.034161E-04  4.984491E-04  4.618086E+01
    12.6000    3.522012E-04  5.466497E-04  4.642379E+01
    12.6500    2.638573E-04  5.932581E-04  4.666298E+01
    12.7000    1.420725E-04  6.381440E-04  4.689937E+01
    12.7500   -6.634769E-06  6.811987E-04  4.713363E+01
    12.8000   -1.733387E-04  7.223288E-04  4.736623E+01
    12.8500   -3.473127E-04  7.614532E-04  4.759752E+01
    12.9000   -5.167745E-04  7.985007E-04  4.782777E+01
    12.9500   -6.697178E-04  8.334086E-04  4.805719E+01
    13.0000   -7.947706E-04  8.661217E-04  4.828594E+01
    13.0500   -8.772941E-04  8.934432E-04  4.850427E+01
    13.1000   -9.181479E-04  9.185087E-04  4.872271E+01
    13.1500   -9.127699E-04  9.412652E-04  4.894137E+01
    13.2000   -8.592754E-04  9.616602E-04  4.916033E+01
    13.2500   -7.586782E-04  9.796418E-04  4.937965E+01
    13.3000   -6.149311E-04  9.951606E-04  4.959939E+01
    13.3500   -4.347756E-04  1.008170E-03  4.981960E+01
    13.4000   -2.274022E-04  1.018628E-03  5.004034E+01
    13.4500   -3.936311E-06  1.026499E-03  5.026165E+01
    13.5000    2.232226E-04  1.031751E-03  5.048356E+01
    13.5500    4.411691E-04  1.034363E-03  5.070612E+01
    13.6000    6.373169E-04  1.034321E-03  5.092935E+01
    13.6500    8.002265E-04  1.031621E-03  5.115330E+01
    13.7000    9.203751E-04  1.026267E-03  5.137801E+01
    13.7500    9.908139E-04  1.018278E-03  5.160350E+01
    13.8000    1.007660E-03  1.007681E-03  5.182982E+01
    13.8500    9.703879E-04  9.945183E-04  5.205701E+01
    13.9000    8.818838E-04  9.788419E-04  5.228513E+01
    13.9500    7.482699E-04  9.607183E-04  5.251422E+01
    14.0000    5.784918E-04  9.402270E-04  5.274435E+01
